Beginning evaluating......
==========================================================
Finish evaluating data71:(TP, TN, FP1, FP2, FN)=(480, 40, 2, 5, 10)
Finish evaluating data72:(TP, TN, FP1, FP2, FN)=(183, 0, 1, 0, 20)
Finish evaluating data73:(TP, TN, FP1, FP2, FN)=(956, 135, 11, 12, 29)
Finish evaluating data74:(TP, TN, FP1, FP2, FN)=(588, 38, 1, 4, 8)
Finish evaluating data75:(TP, TN, FP1, FP2, FN)=(295, 438, 0, 33, 5)
Finish evaluating data76:(TP, TN, FP1, FP2, FN)=(775, 119, 1, 10, 25)
Finish evaluating data77:(TP, TN, FP1, FP2, FN)=(407, 12, 6, 6, 4)
Finish evaluating data78:(TP, TN, FP1, FP2, FN)=(150, 108, 0, 6, 6)
Finish evaluating data79:(TP, TN, FP1, FP2, FN)=(597, 108, 1, 0, 2)
Finish evaluating data80:(TP, TN, FP1, FP2, FN)=(914, 23, 11, 7, 8)
Finish evaluating data81:(TP, TN, FP1, FP2, FN)=(838, 7, 6, 3, 19)
Finish evaluating data82:(TP, TN, FP1, FP2, FN)=(339, 29, 2, 4, 4)
Finish evaluating data83:(TP, TN, FP1, FP2, FN)=(717, 81, 0, 0, 12)
Finish evaluating data84:(TP, TN, FP1, FP2, FN)=(1557, 264, 8, 27, 7)
Finish evaluating data85:(TP, TN, FP1, FP2, FN)=(589, 37, 5, 11, 21)
Finish evaluating data86:(TP, TN, FP1, FP2, FN)=(872, 34, 0, 8, 4)
Finish evaluating data87:(TP, TN, FP1, FP2, FN)=(218, 0, 2, 0, 2)
Finish evaluating data88:(TP, TN, FP1, FP2, FN)=(536, 95, 6, 17, 6)
Finish evaluating data89:(TP, TN, FP1, FP2, FN)=(467, 98, 2, 4, 17)
Finish evaluating data90:(TP, TN, FP1, FP2, FN)=(1356, 289, 8, 17, 16)
Finish evaluating data91:(TP, TN, FP1, FP2, FN)=(825, 5, 0, 1, 0)
Finish evaluating data92:(TP, TN, FP1, FP2, FN)=(1244, 110, 4, 13, 6)
Finish evaluating data93:(TP, TN, FP1, FP2, FN)=(296, 12, 1, 0, 12)
Finish evaluating data94:(TP, TN, FP1, FP2, FN)=(640, 34, 4, 2, 1)
Finish evaluating data95:(TP, TN, FP1, FP2, FN)=(307, 0, 1, 0, 1)
Finish evaluating data96:(TP, TN, FP1, FP2, FN)=(576, 78, 5, 9, 13)
Finish evaluating data97:(TP, TN, FP1, FP2, FN)=(1862, 297, 5, 12, 8)
Finish evaluating data98:(TP, TN, FP1, FP2, FN)=(432, 0, 0, 0, 3)
Finish evaluating data99:(TP, TN, FP1, FP2, FN)=(1429, 173, 15, 23, 4)
Finish evaluating data100:(TP, TN, FP1, FP2, FN)=(278, 12, 0, 4, 12)
Finish evaluating data101:(TP, TN, FP1, FP2, FN)=(324, 92, 1, 7, 5)
Finish evaluating data102:(TP, TN, FP1, FP2, FN)=(1602, 51, 6, 0, 0)
Finish evaluating data103:(TP, TN, FP1, FP2, FN)=(231, 12, 0, 0, 3)
Finish evaluating data104:(TP, TN, FP1, FP2, FN)=(337, 0, 0, 3, 2)
Finish evaluating data105:(TP, TN, FP1, FP2, FN)=(386, 158, 2, 1, 5)
Finish evaluating data106:(TP, TN, FP1, FP2, FN)=(587, 2, 1, 1, 0)
Finish evaluating data107:(TP, TN, FP1, FP2, FN)=(170, 37, 0, 2, 7)
Finish evaluating data108:(TP, TN, FP1, FP2, FN)=(887, 66, 4, 3, 18)
Finish evaluating data109:(TP, TN, FP1, FP2, FN)=(1302, 124, 7, 2, 11)
Finish evaluating data110:(TP, TN, FP1, FP2, FN)=(820, 154, 3, 2, 5)
Finish evaluating data111:(TP, TN, FP1, FP2, FN)=(619, 50, 3, 4, 2)
Finish evaluating data112:(TP, TN, FP1, FP2, FN)=(807, 237, 1, 27, 14)
Finish evaluating data113:(TP, TN, FP1, FP2, FN)=(696, 33, 5, 6, 19)
Finish evaluating data114:(TP, TN, FP1, FP2, FN)=(575, 154, 5, 2, 14)
Finish evaluating data115:(TP, TN, FP1, FP2, FN)=(247, 56, 0, 1, 2)
Finish evaluating data116:(TP, TN, FP1, FP2, FN)=(366, 0, 0, 0, 0)
Finish evaluating data117:(TP, TN, FP1, FP2, FN)=(525, 103, 2, 8, 4)
Finish evaluating data118:(TP, TN, FP1, FP2, FN)=(408, 115, 1, 8, 29)
Finish evaluating data119:(TP, TN, FP1, FP2, FN)=(1850, 472, 32, 32, 587)
Finish evaluating data120:(TP, TN, FP1, FP2, FN)=(944, 156, 4, 6, 0)
Finish evaluating data121:(TP, TN, FP1, FP2, FN)=(1995, 45, 9, 12, 15)
Finish evaluating data122:(TP, TN, FP1, FP2, FN)=(1111, 19, 12, 11, 53)
Finish evaluating data123:(TP, TN, FP1, FP2, FN)=(2311, 96, 11, 15, 45)
Finish evaluating data124:(TP, TN, FP1, FP2, FN)=(2143, 121, 5, 14, 18)
Finish evaluating data125:(TP, TN, FP1, FP2, FN)=(1333, 261, 29, 15, 96)
Finish evaluating data126:(TP, TN, FP1, FP2, FN)=(1767, 291, 43, 42, 107)
Finish evaluating data127:(TP, TN, FP1, FP2, FN)=(1384, 78, 22, 12, 73)
Finish evaluating data128:(TP, TN, FP1, FP2, FN)=(892, 45, 20, 3, 39)
Finish evaluating data129:(TP, TN, FP1, FP2, FN)=(359, 94, 8, 2, 20)
Finish evaluating data130:(TP, TN, FP1, FP2, FN)=(184, 43, 2, 11, 15)
Finish evaluating data131:(TP, TN, FP1, FP2, FN)=(935, 105, 4, 30, 21)
Finish evaluating data132:(TP, TN, FP1, FP2, FN)=(581, 112, 3, 11, 58)
Finish evaluating data133:(TP, TN, FP1, FP2, FN)=(1271, 124, 11, 59, 83)
Finish evaluating data134:(TP, TN, FP1, FP2, FN)=(1345, 270, 12, 48, 74)
Finish evaluating data135:(TP, TN, FP1, FP2, FN)=(1692, 121, 39, 38, 48)
Finish evaluating data136:(TP, TN, FP1, FP2, FN)=(1292, 23, 11, 22, 8)
Finish evaluating data137:(TP, TN, FP1, FP2, FN)=(1385, 322, 18, 19, 35)
Finish evaluating data138:(TP, TN, FP1, FP2, FN)=(1285, 99, 15, 6, 65)
Finish evaluating data139:(TP, TN, FP1, FP2, FN)=(910, 184, 16, 5, 25)
Finish evaluating data140:(TP, TN, FP1, FP2, FN)=(1321, 289, 16, 20, 31)
Finish evaluating data141:(TP, TN, FP1, FP2, FN)=(1993, 195, 33, 51, 92)
Finish evaluating data142:(TP, TN, FP1, FP2, FN)=(927, 90, 16, 21, 23)
Finish evaluating data143:(TP, TN, FP1, FP2, FN)=(800, 6, 5, 12, 8)
Finish evaluating data144:(TP, TN, FP1, FP2, FN)=(515, 50, 3, 1, 7)
Finish evaluating data145:(TP, TN, FP1, FP2, FN)=(2379, 49, 11, 23, 25)
Finish evaluating data146:(TP, TN, FP1, FP2, FN)=(1436, 149, 5, 46, 11)
Finish evaluating data147:(TP, TN, FP1, FP2, FN)=(570, 86, 7, 10, 5)
Finish evaluating data148:(TP, TN, FP1, FP2, FN)=(752, 103, 6, 32, 10)
Finish evaluating data149:(TP, TN, FP1, FP2, FN)=(701, 35, 2, 19, 2)
Finish evaluating data150:(TP, TN, FP1, FP2, FN)=(939, 61, 11, 26, 76)
Finish evaluating data151:(TP, TN, FP1, FP2, FN)=(2999, 14, 66, 1, 172)
Finish evaluating data152:(TP, TN, FP1, FP2, FN)=(1490, 153, 20, 30, 71)
Finish evaluating data153:(TP, TN, FP1, FP2, FN)=(1185, 258, 16, 0, 119)
Finish evaluating data154:(TP, TN, FP1, FP2, FN)=(2038, 58, 16, 32, 13)
Finish evaluating data155:(TP, TN, FP1, FP2, FN)=(1497, 72, 12, 18, 18)
Finish evaluating data156:(TP, TN, FP1, FP2, FN)=(1259, 186, 9, 21, 31)
Finish evaluating data157:(TP, TN, FP1, FP2, FN)=(1771, 116, 17, 19, 15)
Finish evaluating data158:(TP, TN, FP1, FP2, FN)=(1079, 269, 6, 22, 19)
Finish evaluating data159:(TP, TN, FP1, FP2, FN)=(922, 222, 5, 48, 12)
Finish evaluating data160:(TP, TN, FP1, FP2, FN)=(1273, 285, 11, 51, 42)
Finish evaluating data161:(TP, TN, FP1, FP2, FN)=(808, 316, 14, 17, 45)
Finish evaluating data162:(TP, TN, FP1, FP2, FN)=(440, 72, 1, 18, 24)
Finish evaluating data163:(TP, TN, FP1, FP2, FN)=(895, 134, 4, 19, 16)
Finish evaluating data164:(TP, TN, FP1, FP2, FN)=(3090, 284, 17, 55, 19)
Finish evaluating data165:(TP, TN, FP1, FP2, FN)=(527, 94, 5, 5, 41)
Finish evaluating data166:(TP, TN, FP1, FP2, FN)=(1001, 297, 11, 27, 17)
Finish evaluating data167:(TP, TN, FP1, FP2, FN)=(1731, 52, 22, 41, 56)
Finish evaluating data168:(TP, TN, FP1, FP2, FN)=(590, 372, 8, 48, 14)
==========================================================
Number of true positive: 146334
Number of true negative: 18786
Number of false positive FP1: 3200
Number of false positive FP2: 2330
Number of false negative: 3920
accuracy: 0.9458669874548892
precision: 0.9635858399620714
recall: 0.9739108443036458
Done......
