Beginning evaluating......
==========================================================
Finish evaluating data71:(TP, TN, FP1, FP2, FN)=(164, 14, 0, 1, 0)
Finish evaluating data72:(TP, TN, FP1, FP2, FN)=(67, 0, 1, 0, 0)
Finish evaluating data73:(TP, TN, FP1, FP2, FN)=(329, 45, 0, 3, 4)
Finish evaluating data74:(TP, TN, FP1, FP2, FN)=(197, 13, 0, 1, 2)
Finish evaluating data75:(TP, TN, FP1, FP2, FN)=(101, 145, 0, 11, 0)
Finish evaluating data76:(TP, TN, FP1, FP2, FN)=(267, 40, 0, 3, 0)
Finish evaluating data77:(TP, TN, FP1, FP2, FN)=(140, 3, 0, 2, 0)
Finish evaluating data78:(TP, TN, FP1, FP2, FN)=(52, 36, 0, 2, 0)
Finish evaluating data79:(TP, TN, FP1, FP2, FN)=(201, 35, 0, 0, 0)
Finish evaluating data80:(TP, TN, FP1, FP2, FN)=(311, 8, 0, 2, 0)
Finish evaluating data81:(TP, TN, FP1, FP2, FN)=(287, 2, 0, 1, 1)
Finish evaluating data82:(TP, TN, FP1, FP2, FN)=(116, 10, 0, 0, 0)
Finish evaluating data83:(TP, TN, FP1, FP2, FN)=(244, 25, 0, 1, 0)
Finish evaluating data84:(TP, TN, FP1, FP2, FN)=(523, 87, 1, 10, 0)
Finish evaluating data85:(TP, TN, FP1, FP2, FN)=(199, 13, 2, 2, 5)
Finish evaluating data86:(TP, TN, FP1, FP2, FN)=(293, 12, 0, 1, 0)
Finish evaluating data87:(TP, TN, FP1, FP2, FN)=(74, 0, 0, 0, 0)
Finish evaluating data88:(TP, TN, FP1, FP2, FN)=(182, 32, 1, 5, 0)
Finish evaluating data89:(TP, TN, FP1, FP2, FN)=(157, 34, 0, 0, 5)
Finish evaluating data90:(TP, TN, FP1, FP2, FN)=(461, 96, 0, 5, 0)
Finish evaluating data91:(TP, TN, FP1, FP2, FN)=(275, 2, 0, 0, 0)
Finish evaluating data92:(TP, TN, FP1, FP2, FN)=(415, 38, 2, 3, 1)
Finish evaluating data93:(TP, TN, FP1, FP2, FN)=(90, 4, 1, 0, 12)
Finish evaluating data94:(TP, TN, FP1, FP2, FN)=(215, 12, 0, 0, 0)
Finish evaluating data95:(TP, TN, FP1, FP2, FN)=(101, 0, 0, 0, 2)
Finish evaluating data96:(TP, TN, FP1, FP2, FN)=(198, 26, 0, 2, 1)
Finish evaluating data97:(TP, TN, FP1, FP2, FN)=(623, 97, 2, 6, 0)
Finish evaluating data98:(TP, TN, FP1, FP2, FN)=(145, 0, 0, 0, 0)
Finish evaluating data99:(TP, TN, FP1, FP2, FN)=(481, 59, 2, 6, 0)
Finish evaluating data100:(TP, TN, FP1, FP2, FN)=(94, 5, 0, 0, 3)
Finish evaluating data101:(TP, TN, FP1, FP2, FN)=(111, 31, 0, 1, 0)
Finish evaluating data102:(TP, TN, FP1, FP2, FN)=(535, 15, 1, 2, 0)
Finish evaluating data103:(TP, TN, FP1, FP2, FN)=(77, 4, 0, 0, 1)
Finish evaluating data104:(TP, TN, FP1, FP2, FN)=(113, 0, 0, 1, 0)
Finish evaluating data105:(TP, TN, FP1, FP2, FN)=(132, 51, 0, 1, 0)
Finish evaluating data106:(TP, TN, FP1, FP2, FN)=(196, 0, 0, 1, 0)
Finish evaluating data107:(TP, TN, FP1, FP2, FN)=(59, 13, 0, 0, 0)
Finish evaluating data108:(TP, TN, FP1, FP2, FN)=(299, 22, 2, 0, 3)
Finish evaluating data109:(TP, TN, FP1, FP2, FN)=(441, 40, 0, 1, 0)
Finish evaluating data110:(TP, TN, FP1, FP2, FN)=(276, 48, 1, 3, 0)
Finish evaluating data111:(TP, TN, FP1, FP2, FN)=(208, 18, 0, 0, 0)
Finish evaluating data112:(TP, TN, FP1, FP2, FN)=(274, 84, 0, 3, 1)
Finish evaluating data113:(TP, TN, FP1, FP2, FN)=(239, 12, 2, 0, 0)
Finish evaluating data114:(TP, TN, FP1, FP2, FN)=(197, 52, 1, 0, 0)
Finish evaluating data115:(TP, TN, FP1, FP2, FN)=(84, 16, 0, 2, 0)
Finish evaluating data116:(TP, TN, FP1, FP2, FN)=(122, 0, 0, 0, 0)
Finish evaluating data117:(TP, TN, FP1, FP2, FN)=(177, 33, 0, 3, 1)
Finish evaluating data118:(TP, TN, FP1, FP2, FN)=(141, 38, 0, 3, 5)
Finish evaluating data119:(TP, TN, FP1, FP2, FN)=(808, 154, 3, 14, 12)
Finish evaluating data120:(TP, TN, FP1, FP2, FN)=(316, 53, 0, 1, 0)
Finish evaluating data121:(TP, TN, FP1, FP2, FN)=(665, 14, 2, 4, 7)
Finish evaluating data122:(TP, TN, FP1, FP2, FN)=(382, 9, 4, 0, 7)
Finish evaluating data123:(TP, TN, FP1, FP2, FN)=(784, 33, 3, 3, 3)
Finish evaluating data124:(TP, TN, FP1, FP2, FN)=(716, 40, 4, 4, 3)
Finish evaluating data125:(TP, TN, FP1, FP2, FN)=(478, 87, 3, 4, 6)
Finish evaluating data126:(TP, TN, FP1, FP2, FN)=(620, 95, 4, 16, 15)
Finish evaluating data127:(TP, TN, FP1, FP2, FN)=(485, 26, 0, 3, 9)
Finish evaluating data128:(TP, TN, FP1, FP2, FN)=(312, 15, 2, 0, 4)
Finish evaluating data129:(TP, TN, FP1, FP2, FN)=(117, 30, 1, 1, 12)
Finish evaluating data130:(TP, TN, FP1, FP2, FN)=(65, 15, 0, 2, 3)
Finish evaluating data131:(TP, TN, FP1, FP2, FN)=(306, 38, 1, 6, 14)
Finish evaluating data132:(TP, TN, FP1, FP2, FN)=(192, 36, 1, 4, 22)
Finish evaluating data133:(TP, TN, FP1, FP2, FN)=(433, 50, 2, 10, 21)
Finish evaluating data134:(TP, TN, FP1, FP2, FN)=(460, 91, 1, 14, 17)
Finish evaluating data135:(TP, TN, FP1, FP2, FN)=(583, 43, 1, 10, 9)
Finish evaluating data136:(TP, TN, FP1, FP2, FN)=(435, 10, 1, 5, 1)
Finish evaluating data137:(TP, TN, FP1, FP2, FN)=(470, 109, 3, 5, 6)
Finish evaluating data138:(TP, TN, FP1, FP2, FN)=(447, 31, 0, 3, 9)
Finish evaluating data139:(TP, TN, FP1, FP2, FN)=(316, 62, 0, 0, 2)
Finish evaluating data140:(TP, TN, FP1, FP2, FN)=(452, 97, 0, 6, 4)
Finish evaluating data141:(TP, TN, FP1, FP2, FN)=(696, 70, 3, 11, 8)
Finish evaluating data142:(TP, TN, FP1, FP2, FN)=(321, 22, 0, 14, 2)
Finish evaluating data143:(TP, TN, FP1, FP2, FN)=(269, 4, 1, 2, 1)
Finish evaluating data144:(TP, TN, FP1, FP2, FN)=(174, 14, 0, 3, 1)
Finish evaluating data145:(TP, TN, FP1, FP2, FN)=(796, 20, 3, 4, 6)
Finish evaluating data146:(TP, TN, FP1, FP2, FN)=(481, 49, 0, 15, 4)
Finish evaluating data147:(TP, TN, FP1, FP2, FN)=(191, 31, 2, 1, 1)
Finish evaluating data148:(TP, TN, FP1, FP2, FN)=(252, 37, 0, 8, 4)
Finish evaluating data149:(TP, TN, FP1, FP2, FN)=(236, 5, 0, 12, 0)
Finish evaluating data150:(TP, TN, FP1, FP2, FN)=(324, 22, 2, 6, 17)
Finish evaluating data151:(TP, TN, FP1, FP2, FN)=(1014, 5, 6, 0, 59)
Finish evaluating data152:(TP, TN, FP1, FP2, FN)=(489, 51, 3, 9, 36)
Finish evaluating data153:(TP, TN, FP1, FP2, FN)=(390, 85, 3, 0, 48)
Finish evaluating data154:(TP, TN, FP1, FP2, FN)=(689, 26, 0, 4, 0)
Finish evaluating data155:(TP, TN, FP1, FP2, FN)=(509, 25, 1, 4, 0)
Finish evaluating data156:(TP, TN, FP1, FP2, FN)=(431, 65, 0, 4, 2)
Finish evaluating data157:(TP, TN, FP1, FP2, FN)=(599, 43, 2, 2, 0)
Finish evaluating data158:(TP, TN, FP1, FP2, FN)=(356, 93, 1, 4, 11)
Finish evaluating data159:(TP, TN, FP1, FP2, FN)=(312, 76, 1, 14, 0)
Finish evaluating data160:(TP, TN, FP1, FP2, FN)=(440, 87, 0, 24, 3)
Finish evaluating data161:(TP, TN, FP1, FP2, FN)=(287, 100, 0, 11, 2)
Finish evaluating data162:(TP, TN, FP1, FP2, FN)=(156, 22, 0, 7, 0)
Finish evaluating data163:(TP, TN, FP1, FP2, FN)=(306, 45, 0, 5, 0)
Finish evaluating data164:(TP, TN, FP1, FP2, FN)=(1037, 86, 5, 26, 1)
